Manuscript number 	Plate number- IAA inventory 	Fragment number (on IAA plate)	DJD- publication number
4Q9999	-18	21	DJD33 pl.XXVI:30
4Q9999	-18	22	DJD33 pl.XXVI:36
4Q9999	-18	23	DJD33 pl.XXVI:34
4Q9999	-18	24	DJD33 pl.XXVI:37
4Q9999	-18	25	DJD33 pl.XXVI:33
4Q9999	-18	26	DJD33 pl.XXVI:35
4Q9999	-18	27	DJD33 pl.XXVI:32
4Q9999	-18	28	DJD33 pl.XXVI:31
4Q9999	-18	29	DJD33 pl.XXVI:40
4Q9999	-18	30	DJD33 pl.XXVI:41
4Q9999	-18	31	DJD33 pl.XXVI:51
4Q9999	-18	32	DJD33 pl.XXVI:54
4Q9999	-18	33	DJD33 pl.XXVI:55
4Q9999	-18	34	DJD33 pl.XXVI:50
4Q9999	-18	35	DJD33 pl.XXVI:52
4Q9999	-18	36	DJD33 pl.XXVI:53
4Q9999	-18	37	DJD33 pl.XXVI:48
4Q9999	-18	38	DJD33 pl.XXVI:49
4Q9999	-18	39	DJD33 pl.XXVI:61
4Q9999	-18	40	DJD33 pl.XXVI:66
4Q9999	-18	41	DJD33 pl.XXVI:63
4Q9999	-18	42	DJD33 pl.XXVI:62
4Q9999	-18	43	DJD33 pl.XXVI:59
4Q9999	-18	44	DJD33 pl.XXVI:58
4Q9999	-18	45	DJD33 pl.XXVI:65
4Q9999	-18	46	DJD33 pl.XXVI:68
4Q9999	-18	47	DJD33 pl.XXVI:67
4Q9999	-18	48	DJD33 pl.XXVI:73
4Q9999	-18	49	DJD33 pl.XXVI:70
4Q9999	-18	50	DJD33 pl.XXVI:72
4Q9999	-18	51	DJD33 pl.XXVI:71
4Q9999	-18	52	DJD33 pl.XXVI:78
4Q9999	-18	53	DJD33 pl.XXVI:80
4Q9999	-18	54	DJD33 pl.XXVI:79
4Q9999	-18	55	DJD33 pl.XXVI:83
4Q9999	-18	56	DJD33 pl.XXVI:77
4Q9999	-18	57	DJD33 pl.XXVI:82
4Q9999	-18	58	DJD33 pl.XXVI:81
4Q9999	-18	59	DJD33 pl.XXVI:76
4Q9999	-18	60	DJD33 pl.XXVI:84
4Q9999	-18	61	DJD33 pl.XXVI:75
4Q364	-477	1	DJD12 pl.XV:12
4Q364	-477	2	DJD12 pl.XV:13b
4Q364	-477	4	DJD12 pl.XV:14 (right)
4Q364	-477	5	DJD12 pl.XV:14 (left)
4Q364	-477	3	DJD12 pl.XV:15
4Q364	-477	7	DJD12 pl.XVI:16
4Q364	-477	6	DJD12 pl.XVI:17
