id;ref_num;TEI-TAG;equivalent;
582;582;purpose;;
583;583;pVar;;
584;584;q;;
585;585;quotation;;
586;586;quote;;
587;587;rdg;;
588;588;rdgGrp;;
589;589;re;;
590;590;recordHist;;
591;591;recording;;
592;592;recordingStmt;;
593;593;redo;;
594;594;ref;;
595;595;refsDecl;;
596;596;refState;;
597;597;reg;;
598;598;region;;
599;599;relatedItem;;
600;600;relation;;
601;601;remarks;;
602;602;rendition;;
603;603;repository;;
604;604;residence;;
605;605;resp;;
606;606;respons;;
607;607;respStmt;;
608;608;restore;;
609;609;retrace;;
610;610;revisionDesc;;
611;611;rhyme;;
612;612;role;;
613;613;roleDesc;;
614;614;roleName;;
615;615;root;;
616;616;row;;
617;617;rs;;
618;618;rubric;;
619;619;s;;
620;620;said;;
621;621;salute;;
622;622;samplingDecl;;
623;623;schemaSpec;;
624;624;scriptDesc;;
625;625;scriptNote;;
626;626;scriptStmt;;
627;627;seal;;
628;628;sealDesc;;
629;629;secFol;;
630;630;seg;;
631;631;segmentation;;
632;632;sense;;
633;633;series;;
634;634;seriesStmt;;
635;635;set;;
636;636;setting;;
637;637;settingDesc;;
638;638;settlement;;
639;639;sex;;
640;640;shift;;
641;641;sic;;
642;642;signatures;;
643;643;signed;;
644;644;soCalled;;
645;645;socecStatus;;
646;646;sound;;
647;647;source;;
648;648;sourceDesc;;
649;649;sourceDoc;;
650;650;sp;;
651;651;space;;
652;652;span;;
653;653;spanGrp;;
654;654;speaker;;
655;655;specDesc;;
656;656;specGrp;;
657;657;specGrpRef;;
658;658;specList;;
659;659;spGrp;;
660;660;sponsor;;
661;661;stage;;
662;662;stamp;;
663;663;state;;
664;664;stdVals;;
665;665;street;;
666;666;stress;;
667;667;string;;
668;668;styleDefDecl;;
669;669;subc;;
670;670;subst;;
671;671;substJoin;;
672;672;summary;;
673;673;superEntry;;
674;674;supplied;;
675;675;support;;
676;676;supportDesc;;
677;677;surface;;
678;678;surfaceGrp;;
679;679;surname;;
680;680;surplus;;
681;681;surrogates;;
682;682;syll;;
683;683;symbol;;
684;684;table;;
685;685;tag;;
686;686;tagsDecl;;
687;687;tagUsage;;
688;688;taxonomy;;
689;689;tech;;
690;690;TEI;;
691;691;teiCorpus;;
692;692;teiHeader;;
693;693;term;;
694;694;terrain;;
695;695;text;;
696;696;textClass;;
697;697;textDesc;;
698;698;textLang;;
699;699;then;;
700;700;time;;
701;701;timeline;;
702;702;title;;
703;703;titlePage;;
704;704;titlePart;;
705;705;titleStmt;;
706;706;tns;;
707;707;trailer;;
708;708;trait;;
709;709;transpose;;
710;710;tree;;
711;711;triangle;;
712;712;typeDesc;;
713;713;typeNote;;
714;714;u;;
715;715;unclear;;
716;716;undo;;
717;717;unicodeName;;
718;718;usg;;
719;719;val;;
720;720;valDesc;;
721;721;valItem;;
722;722;valList;;
723;723;vAlt;;
724;724;value;;
